yr,i,j,value,
2012,tsv,ppd,2.0620769015196800,
2014,tsv,ppd,2.1199240313490700,
2013,tsv,ppd,2.0632072368045300,
1999,tsv,ppd,2.0898671444008700,
2002,tsv,ppd,2.4222644409746000,
2017,tsv,ppd,3.6321027830208500,
2016,tsv,ppd,2.0250191635322400,
2015,tsv,ppd,1.9162569162437400,
1998,tsv,ppd,2.1352030315827800,
2004,tsv,ppd,1.9846557621038800,
2000,tsv,ppd,2.2468607895067500,
1997,tsv,ppd,1.8568978449373000,
2007,tsv,ppd,2.4968506125058900,
2010,tsv,ppd,2.0272103399591900,
2003,tsv,ppd,2.3074777039035600,
2011,tsv,ppd,1.8081456457672300,
2001,tsv,ppd,2.3455000013239700,
